threshold,precision,recall,f2,alert_rate
0.01,0.09174311926605505,1.0,0.33557046979865773,0.6351981351981352
0.02,0.1490015360983103,0.97,0.461465271170314,0.3793706293706294
0.03,0.17723880597014927,0.95,0.5074786324786325,0.3123543123543124
0.04,0.20127118644067796,0.95,0.5447247706422018,0.27505827505827507
0.05,0.21363636363636362,0.94,0.5595238095238095,0.2564102564102564
0.06,0.22355769230769232,0.93,0.5698529411764706,0.24242424242424243
0.07,0.2351421188630491,0.91,0.5781448538754765,0.22552447552447552
0.08,0.24383561643835616,0.89,0.5816993464052288,0.2127039627039627
0.09,0.2536443148688047,0.87,0.585464333781965,0.1998834498834499
0.1,0.26380368098159507,0.86,0.5922865013774105,0.18997668997668998
0.11,0.267515923566879,0.84,0.5882352941176471,0.18298368298368298
0.12,0.27796610169491526,0.82,0.5899280575539568,0.17191142191142192
0.13,0.2888086642599278,0.8,0.5908419497784343,0.16142191142191142
0.14,0.30268199233716475,0.79,0.5975794251134644,0.1520979020979021
0.15,0.3125,0.75,0.5859375,0.13986013986013987
0.16,0.3333333333333333,0.73,0.5896607431340872,0.12762237762237763
0.17,0.36180904522613067,0.72,0.6010016694490818,0.11596736596736597
0.18,0.375,0.69,0.5907534246575342,0.10722610722610723
0.19,0.3855421686746988,0.64,0.5653710247349824,0.09673659673659674
0.2,0.3931034482758621,0.57,0.5229357798165137,0.0844988344988345
0.21,0.4365079365079365,0.55,0.5228136882129277,0.07342657342657342
0.22,0.47572815533980584,0.49,0.4870775347912525,0.060023310023310024
0.23,0.5432098765432098,0.44,0.4573804573804574,0.0472027972027972
0.24,0.627906976744186,0.27,0.3047404063205418,0.02505827505827506
0.25,0.5,0.03,0.03694581280788178,0.0034965034965034965
0.26,0.0,0.0,0.0,0.0
0.27,0.0,0.0,0.0,0.0
0.28,0.0,0.0,0.0,0.0
0.29,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0
0.31,0.0,0.0,0.0,0.0
0.32,0.0,0.0,0.0,0.0
0.33,0.0,0.0,0.0,0.0
0.34,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0
0.36,0.0,0.0,0.0,0.0
0.37,0.0,0.0,0.0,0.0
0.38,0.0,0.0,0.0,0.0
0.39,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0
0.41,0.0,0.0,0.0,0.0
0.42,0.0,0.0,0.0,0.0
0.43,0.0,0.0,0.0,0.0
0.44,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0
0.46,0.0,0.0,0.0,0.0
0.47,0.0,0.0,0.0,0.0
0.48,0.0,0.0,0.0,0.0
0.49,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.51,0.0,0.0,0.0,0.0
0.52,0.0,0.0,0.0,0.0
0.53,0.0,0.0,0.0,0.0
0.54,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0
0.56,0.0,0.0,0.0,0.0
0.57,0.0,0.0,0.0,0.0
0.58,0.0,0.0,0.0,0.0
0.59,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0
0.61,0.0,0.0,0.0,0.0
0.62,0.0,0.0,0.0,0.0
0.63,0.0,0.0,0.0,0.0
0.64,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0
0.66,0.0,0.0,0.0,0.0
0.67,0.0,0.0,0.0,0.0
0.68,0.0,0.0,0.0,0.0
0.69,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.0
0.71,0.0,0.0,0.0,0.0
0.72,0.0,0.0,0.0,0.0
0.73,0.0,0.0,0.0,0.0
0.74,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
0.76,0.0,0.0,0.0,0.0
0.77,0.0,0.0,0.0,0.0
0.78,0.0,0.0,0.0,0.0
0.79,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.81,0.0,0.0,0.0,0.0
0.82,0.0,0.0,0.0,0.0
0.83,0.0,0.0,0.0,0.0
0.84,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0
0.86,0.0,0.0,0.0,0.0
0.87,0.0,0.0,0.0,0.0
0.88,0.0,0.0,0.0,0.0
0.89,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.91,0.0,0.0,0.0,0.0
0.92,0.0,0.0,0.0,0.0
0.93,0.0,0.0,0.0,0.0
0.94,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0
0.96,0.0,0.0,0.0,0.0
0.97,0.0,0.0,0.0,0.0
0.98,0.0,0.0,0.0,0.0
0.99,0.0,0.0,0.0,0.0
